model,gene,auroc
logistic_regression,LRRK2,0.692857142857143
logistic_regression,LRSAM1,0.86
logistic_regression,LYST,1.0
logistic_regression,MAP3K7,0.8472222222222222
logistic_regression,MBTPS1,0.7384615384615385
logistic_regression,MC2R,0.6140350877192983
logistic_regression,MEGF10,0.9666666666666668
logistic_regression,MEN1,0.8275862068965517
logistic_regression,MFN2,0.6941176470588235
logistic_regression,MFRP,0.68
logistic_regression,MITF,0.9304347826086956
logistic_regression,MNX1,0.725
logistic_regression,MTRR,0.7631578947368421
logistic_regression,MTTP,0.9473684210526316
logistic_regression,MYH2,0.8909090909090909
logistic_regression,MYO6,0.734375
logistic_regression,MYOC,0.9153846153846154
logistic_regression,MYOT,0.3428571428571429
logistic_regression,MYRF,0.7936507936507937
logistic_regression,NDUFA10,0.761904761904762
logistic_regression,NFKBIA,0.5
logistic_regression,NLRP1,0.6162162162162161
logistic_regression,NOTCH2,0.8214285714285714
logistic_regression,NR2E3,0.8290598290598292
logistic_regression,NR2F1,0.7266313932980599
logistic_regression,NR4A2,0.8612440191387559
logistic_regression,NTRK1,0.7424242424242424
logistic_regression,NUP107,0.888888888888889
logistic_regression,OSMR,0.62
logistic_regression,PAK1,0.7130434782608696
logistic_regression,PCSK9,0.5641025641025641
logistic_regression,PDE6B,0.84375
logistic_regression,PDHA1,0.8597883597883598
logistic_regression,PEX6,0.7289002557544757
logistic_regression,PGAP3,0.7777777777777778
logistic_regression,PGK1,0.7222222222222223
logistic_regression,PHIP,0.7660010240655402
logistic_regression,PIGS,0.8153846153846154
logistic_regression,PIGW,0.5
logistic_regression,PMP2,0.7999999999999999
logistic_regression,PNPT1,0.9145299145299145
logistic_regression,POGZ,0.8611111111111112
logistic_regression,POLRMT,0.81203007518797
logistic_regression,POMT2,0.9305555555555556
logistic_regression,PPA2,0.6904761904761906
logistic_regression,PQBP1,0.7
logistic_regression,PRKCG,0.9882352941176471
logistic_regression,PRMT7,0.8375
logistic_regression,PRPH2,0.8544973544973545
logistic_regression,PTCH1,0.9037433155080214
logistic_regression,PTPN11,0.7630853994490359
logistic_regression,PUS7,0.92
logistic_regression,RAB3GAP2,0.9076923076923076
logistic_regression,RAG2,0.82996632996633
logistic_regression,RAI1,0.5570193495265541
logistic_regression,RALA,0.6666666666666666
logistic_regression,RDH5,0.9102564102564104
logistic_regression,RHO,0.7292626728110598
logistic_regression,RMND1,0.7045454545454545
logistic_regression,RTEL1,0.77
logistic_regression,SCN1A,0.8135343005030254
logistic_regression,SCNN1B,0.5277777777777778
logistic_regression,SETD1A,0.6080459770114943
logistic_regression,SETD2,0.8556473829201102
logistic_regression,SH3TC2,0.764957264957265
logistic_regression,SHANK3,0.7522727272727273
logistic_regression,SHH,0.6534090909090909
logistic_regression,SLC20A2,0.7864583333333334
logistic_regression,SLC25A46,0.8148148148148149
