model,operating_threshold,val_n,val_n_pos,val_n_neg,val_auroc,val_auprc,val_f1,val_accuracy,test_n,test_n_pos,test_n_neg,test_auroc,test_auroc_lo,test_auroc_hi,test_auprc,test_auprc_lo,test_auprc_hi,test_f1,test_f1_lo,test_f1_hi,test_accuracy,test_precision,test_recall,test_specificity,test_tn,test_fp,test_fn,test_tp,train_seconds,model_size_mb,params,single_inference_ms,coverage
logistic_regression,0.4360570001594421,19539.0,7006.0,12533.0,0.8019740816018477,0.6816987830017349,0.6564139677944636,0.7084292952556426,38526,13198,25328,0.8004456152643583,0.7955854196525239,0.805125036068772,0.6678461068911774,0.6589364361925191,0.6766572416350235,0.6471196964470507,0.6409356714000422,0.6532342335415772,0.7079115402585268,0.5520303889572522,0.7817851189574178,0.6694172457359444,16955,8373,2880,10318,0.3883430957794189,0.0013074874877929,63.0,0.0418648123741149,
random_forest,0.316,19539.0,7006.0,12533.0,0.843919805068886,0.7631273501030038,0.6978176462712545,0.7689748707712779,38526,13198,25328,0.849742686754449,0.8458031771071403,0.8536754193803116,0.7637058696606311,0.7567166878919673,0.7709828206916501,0.6905166730282105,0.6840773277185866,0.6966749317238253,0.7684940040492135,0.6369630625440112,0.7539021063797545,0.7760975994946304,19657,5671,3248,9950,1.798872470855713,2412.719491004944,500.0,45.4273521900177,
esm2_head,0.4992543519341944,19539.0,7006.0,12533.0,0.9389037149746536,0.907036239900838,0.8266703364756073,0.8710783561082962,38526,13198,25328,0.9389221745297844,0.9364614676747632,0.9413139315421396,0.9014458653365792,0.8973070069344576,0.9057367543274562,0.8201396328174061,0.8151906263962926,0.8254969219297459,0.8736178165394798,0.800187414402076,0.8411122897408698,0.890555906506633,22556,2772,2097,11101,16.46209144592285,3.813595771789551,331265.0,0.2310238778591156,
combined_head,0.5626852500128746,19539.0,7006.0,12533.0,0.9537502979003828,0.9290344754473804,0.8544343796081736,0.8939044986949178,38526,13198,25328,0.9536576270266068,0.9516264143413888,0.9559213523231324,0.9240993042536734,0.9206010266541632,0.9278776231762784,0.8495469182955141,0.8447658866582256,0.854300150029834,0.8957067954108914,0.8397986378442405,0.8595241703288377,0.9145609602021478,23164,2164,1854,11344,11.43824553489685,3.996457099914551,347261.0,0.2000071108341217,
alphamissense,0.4430727158606051,,,,,,,,37736,12795,24941,0.9656842418525853,0.9638916455911632,0.9673190673814251,0.93875382104953,0.9353767002165435,0.9419181409007561,0.8714473786107024,0.8670399270113112,0.8755131796282992,0.9120203519185923,0.8635561353695035,0.8794841735052755,0.9287117597530171,23163,1778,1542,11253,,,,,0.972777892348938
cadd_phred,24.2,,,,,,,,38792,13266,25526,0.928104229304001,0.9253795864990703,0.930783704822841,0.8390252748392003,0.8318276737096119,0.8458856935684894,0.8074265669843744,0.8025244674897352,0.812301150203706,0.8598937925345432,0.7617837801698202,0.858887381275441,0.8604168298989265,21963,3563,1872,11394,,,,,1.0
