model,operating_threshold,val_n,val_n_pos,val_n_neg,val_auroc,val_auprc,val_f1,val_accuracy,test_n,test_n_pos,test_n_neg,test_auroc,test_auroc_lo,test_auroc_hi,test_auprc,test_auprc_lo,test_auprc_hi,test_f1,test_f1_lo,test_f1_hi,test_accuracy,test_precision,test_recall,test_specificity,test_tn,test_fp,test_fn,test_tp,train_seconds,model_size_mb,params,single_inference_ms
logistic_regression,0.4360570001594421,19539,7006,12533,0.8019740816018477,0.6816987830017349,0.6564139677944636,0.7084292952556426,38526,13198,25328,0.8004456152643583,0.7955854196525239,0.805125036068772,0.6678461068911774,0.6589364361925191,0.6766572416350235,0.6471196964470507,0.6409356714000422,0.6532342335415772,0.7079115402585268,0.5520303889572522,0.7817851189574178,0.6694172457359444,16955,8373,2880,10318,0.38834309577941895,0.0013074874877929688,63,0.04589930176734924
random_forest,0.316,19539,7006,12533,0.843919805068886,0.7631273501030038,0.6978176462712545,0.7689748707712779,38526,13198,25328,0.849742686754449,0.8458031771071403,0.8536754193803116,0.7637058696606311,0.7567166878919673,0.7709828206916501,0.6905166730282105,0.6840773277185866,0.6966749317238253,0.7684940040492135,0.6369630625440112,0.7539021063797545,0.7760975994946304,19657,5671,3248,9950,1.798872470855713,2412.719491004944,500,45.59116065502167
esm2_head,0.49925435193419443,19539,7006,12533,0.9389037149746535,0.9070362399008381,0.8266703364756073,0.8710783561082962,38526,13198,25328,0.9389221745297844,0.9364614676747632,0.9413139315421397,0.9014458653365791,0.8973070069344576,0.9057367543274562,0.8201396328174061,0.8151906263962926,0.8254969219297459,0.8736178165394798,0.800187414402076,0.8411122897408698,0.890555906506633,22556,2772,2097,11101,16.46209144592285,3.813595771789551,331265,0.22527575492858887
combined_head,0.5626852500128746,19539,7006,12533,0.9537502979003829,0.9290344754473803,0.8544343796081736,0.8939044986949178,38526,13198,25328,0.9536576270266068,0.9516264143413887,0.9559213523231325,0.9240993042536734,0.9206010266541633,0.9278776231762783,0.8495469182955141,0.8447658866582256,0.854300150029834,0.8957067954108914,0.8397986378442405,0.8595241703288377,0.9145609602021478,23164,2164,1854,11344,11.43824553489685,3.996457099914551,347261,0.20946934819221497
